ID,X,Y
148,113.5623476,22.1822527
149,113.5622465,22.18218852
150,113.5621314,22.18210457
151,113.5620784,22.1820659
152,113.5620045,22.18201205
153,113.56195,22.18198472
154,113.5618329,22.18194741
155,113.56171,22.1819346
156,113.5616481,22.18193761
157,113.5615273,22.18196231
158,113.5614698,22.1819837
159,113.5614166,22.18200799
160,113.561367,22.18203829
161,113.5613219,22.18207413
162,113.561282,22.18211495
163,113.5612479,22.18216009
164,113.5612201,22.18220886
165,113.5611991,22.18226049
166,113.5611789,22.18231067
167,113.5611655,22.18236279
168,113.5611591,22.18241605
169,113.5611599,22.18246964
170,113.5611678,22.18252272
171,113.5611827,22.18257448
172,113.5612325,22.1826709
173,113.5611623,22.18281885
174,113.5610571,22.18304716
175,113.5609578,22.1832704
176,113.5608577,22.18349692
177,113.5607599,22.18371986
178,113.5606842,22.18390463
179,113.5606057,22.18411628
180,113.5605389,22.18407528
181,113.5604892,22.18404484
182,113.5604034,22.18400292
183,113.5603458,22.18397254
184,113.5602655,22.18392854
185,113.5602191,22.18391373
186,113.5601378,22.18388781
187,113.5600189,22.18384988
188,113.5599202,22.18382087
189,113.5598593,22.18380332
190,113.5597761,22.18377932
191,113.5597492,22.18376809
192,113.5596815,22.18373975
193,113.5596249,22.18371605
194,113.5595428,22.18368171
195,113.5594543,22.18364498
196,113.5593449,22.18360099
197,113.5592259,22.18355318
198,113.5591072,22.18349644
199,113.5589094,22.18340196
200,113.5588427,22.18337236
201,113.5587768,22.18334886
202,113.5587204,22.18332872
203,113.5586224,22.18329377
204,113.5585631,22.18327261
205,113.5585123,22.18325221
206,113.5584671,22.18323406
207,113.5583888,22.18320265
208,113.5583048,22.1831689
209,113.5582166,22.18313492
210,113.5581512,22.1831106
211,113.5580468,22.18307177
212,113.5579589,22.18303909
213,113.5579002,22.18302054
214,113.5578156,22.18300167
215,113.5577352,22.18298375
216,113.5576299,22.18296026
217,113.5575641,22.18294558
218,113.5574935,22.1829518
219,113.5574452,22.18301625
220,113.5574203,22.18307425
221,113.5573603,22.18305769
